,Positive,ROI_past_ma10
315,1,0.009248593487576062
316,1,0.007926898576870163
317,0,0.008807282558371843
318,1,0.007949322359366868
319,0,0.008664156062411785
320,0,0.00828461105176019
321,0,0.007691816818210137
322,1,0.007592962055065941
323,1,0.007510852303718136
324,0,0.007541711273424272
325,1,0.006665509879599404
326,1,0.007300464674218286
327,0,0.007367266797242784
328,1,0.006088052059273684
329,0,0.007901858893721801
330,0,0.007999243055061896
331,1,0.007587824388347296
332,1,0.007586055151711897
333,0,0.00827811029592025
334,1,0.008305169062418138
335,1,0.008575794582892144
336,1,0.008955764723498363
337,0,0.00855008130672187
338,0,0.008414960678821358
339,0,0.00771613087244098
340,1,0.006997120565866156
341,1,0.006299890953100688
342,0,0.006779965269684175
343,0,0.005696883765203195
344,1,0.0055166741009276266
345,1,0.0056717698198842995
346,1,0.005975844724821215
347,1,0.0065608496666910475
348,1,0.006967018109192956
349,1,0.006438789925424485
350,1,0.008268874885578278
351,0,0.007982888837218404
352,1,0.008032354911276993
353,0,0.00858921304292525
354,0,0.008639938430122075
355,1,0.007988097129407824
356,1,0.007925523684484933
357,0,0.008024097504131049
358,0,0.007683559190440195
359,0,0.007318294475137165
360,0,0.007558761114749243
361,0,0.007077389791586643
362,1,0.007379072200087234
363,0,0.007253890843567466
364,1,0.006572097217117224
365,0,0.007387981303778757
366,1,0.00680428108403243
367,1,0.007228562940479305
368,0,0.007727644449645827
369,0,0.007701530211236074
370,0,0.007386175140985354
371,0,0.006712142401351661
372,0,0.006417071937779949
373,0,0.005526781316908086
374,1,0.004330131490911081
375,0,0.00469551780476468
376,0,0.003511184557251051
377,0,0.003388507024743863
378,0,0.002586590871981986
379,0,0.002117467402259074
380,0,0.0022215356487003276
381,1,0.001615545535220912
382,0,0.00159386712597035
383,0,0.0013719571205631984
384,1,-3.3441647619639193e-06
385,1,0.0002720650085100377
386,0,0.0005545313974553205
387,1,-2.0624190056491854e-05
388,0,0.00033579612579702316
389,1,6.754576053593392e-05
390,1,0.00040786168606574987
391,1,0.000482439383360312
392,0,0.0009357979399728883
393,1,0.0011471546963930162
394,1,0.0011435726671937421
395,1,0.0010146108300714129
396,0,0.0013743726152947947
397,0,0.00137419391969498
398,1,0.0006996413281860342
399,1,0.0009514828349096297
400,1,0.0009455994924089739
401,0,0.0008130623891165033
402,1,0.0013942817337147212
403,0,0.0015072382297457057
404,1,0.0008820324674069294
405,1,0.0013538478632889159
406,1,0.0014213245052500133
407,1,0.0007061422328924838
408,1,0.0010384375305506797
409,1,0.0011554750910145828
410,0,0.0015682790704465975
411,1,0.0013359899142321202
412,0,0.0012258774414733655
413,0,0.0007957089330065967
414,0,0.0006924699740830922
415,1,0.00019162567544105447
416,0,0.0002635716514203033
417,0,-0.00031140553623459487
418,1,-0.0006975584414359655
419,1,-0.00037057841969932547
420,0,-0.0001531625739239187
421,0,-5.1176451652565085e-05
422,1,0.00043590277310092003
423,0,0.00037338359987773974
424,1,-0.00021946536864638668
425,1,0.000670724863957239
426,1,9.768740249094796e-05
427,0,0.00024064937817306654
428,1,-4.8152851419660736e-05
429,0,-0.0005667378544269237
430,0,-0.0009300362965534389
431,1,-0.0005699096648163248
432,1,-0.0009166892536652601
433,0,-0.0009211540674601873
434,1,-0.0013137635748042037
435,1,-0.0012272713207941157
436,0,-0.0016332267616906554
437,1,-0.0022297188313852045
438,0,-0.0015427145772155576
439,1,-0.0014735252343664274
440,1,-0.0011551544223938632
441,0,-0.00034220832616634473
442,1,-0.0011164225531169409
443,0,-0.00028294173016763554
444,0,-0.00014601792692831635
445,1,-0.00047458355674037694
446,1,-0.00046066388990188346
447,0,-0.00037730319751529975
448,0,-0.0012385098217993786
449,0,-0.0018965858772089198
450,0,-0.0027375790031305084
451,1,-0.003309753899126098
452,1,-0.0023951501000374293
453,0,-0.002795831499636035
454,1,-0.002998624712259262
455,1,-0.002381193457667006
456,0,-0.0019679730916911746
457,0,-0.0036133403304426225
458,0,-0.0046377451622344685
459,0,-0.0045990681772550765
460,0,-0.004782498929898801
461,1,-0.005461558340380005
462,0,-0.005042884843301011
463,1,-0.005477148506863294
464,1,-0.005073584833513172
465,1,-0.005447340265055233
466,1,-0.0051795095854725555
467,0,-0.005470249829681577
468,1,-0.006160530578344679
469,0,-0.0057902308666951475
470,1,-0.005202115046780026
471,0,-0.004482941780942584
472,1,-0.005159543103170139
473,1,-0.0048271637220474286
474,0,-0.004549651123305059
475,1,-0.005085583557144692
476,1,-0.004207595818664107
477,1,-0.003411100564286172
478,0,-0.0029758093675898555
479,1,-0.0028929022465938215
480,0,-0.0026007132250168564
481,1,-0.0027586329274633167
482,0,-0.00273327343580543
483,1,-0.0024729114576201223
484,1,-0.0014811064029870268
485,0,-0.0015647925700155363
486,0,-0.0020334774539005475
487,0,-0.0015603789897959278
488,0,-0.0020026346813366794
489,0,-0.0019853369143575023
490,1,-0.002538843166444429
491,1,-0.002487048396142232
492,1,-0.0028148736702519723
493,0,-0.0026122291275027555
494,0,-0.002787818813416203
495,0,-0.003054594981404869
496,1,-0.0037464899068866435
497,0,-0.0035469447103218667
498,0,-0.003090772588860882
499,0,-0.0036346293042278936
500,0,-0.003939356079111543
501,0,-0.0040305138161177345
502,0,-0.003960641044391387
503,1,-0.00419145444055056
504,0,-0.0027039488630430032
505,0,-0.003148263301974267
